2025-04-22 16:01:57.260 | INFO     | electricitydemand.utils.log_utils:setup_logger:142 - 文本日志将写入：/home/ubuntu/ElectricityDemand/logs/3_run_feature_engineering_20250422_160157.log
2025-04-22 16:01:57.260 | INFO     | electricitydemand.utils.log_utils:setup_logger:180 - 已拦截标准库 logging。
2025-04-22 16:01:57.261 | INFO     | electricitydemand.utils.log_utils:setup_logger:185 - 已设置全局异常处理钩子 (sys.excepthook)。
2025-04-22 16:01:57.261 | INFO     | electricitydemand.utils.log_utils:setup_logger:187 - Loguru 初始化完成。默认级别：INFO. 控制台：INFO. 文件：INFO.
2025-04-22 16:01:57.261 | WARNING  | electricitydemand.utils.log_utils:setup_logger:190 - Diagnose 和 Backtrace 已启用。注意：在生产环境中 'diagnose=True' 可能泄露敏感数据！
2025-04-22 16:01:57.261 | INFO     | __main__:<module>:33 - 项目根目录：/home/ubuntu/ElectricityDemand
2025-04-22 16:01:57.261 | INFO     | __main__:<module>:34 - 数据目录：/home/ubuntu/ElectricityDemand/data
2025-04-22 16:01:57.262 | INFO     | __main__:<module>:35 - 日志目录：/home/ubuntu/ElectricityDemand/logs
2025-04-22 16:01:57.262 | INFO     | __main__:<module>:36 - 绘图目录：/home/ubuntu/ElectricityDemand/plots
2025-04-22 16:01:57.262 | INFO     | __main__:<module>:42 - 输入合并数据路径: /home/ubuntu/ElectricityDemand/data/merged_data.parquet
2025-04-22 16:01:57.262 | INFO     | __main__:<module>:43 - 输出特征数据路径: /home/ubuntu/ElectricityDemand/data/features.parquet
2025-04-22 16:01:57.263 | INFO     | __main__:<module>:439 - 项目根目录：/home/ubuntu/ElectricityDemand
2025-04-22 16:01:57.263 | INFO     | __main__:<module>:440 - 数据目录：/home/ubuntu/ElectricityDemand/data
2025-04-22 16:01:57.263 | INFO     | __main__:<module>:441 - 日志目录：/home/ubuntu/ElectricityDemand/logs
2025-04-22 16:01:57.263 | INFO     | __main__:<module>:442 - 绘图目录：/home/ubuntu/ElectricityDemand/plots
2025-04-22 16:01:57.264 | INFO     | __main__:run_feature_engineering_spark:228 - =====================================================
2025-04-22 16:01:57.264 | INFO     | __main__:run_feature_engineering_spark:229 - === 开始执行 特征工程脚本 (Spark) ===
2025-04-22 16:01:57.264 | INFO     | __main__:run_feature_engineering_spark:230 - =====================================================
2025-04-22 16:01:57.264 | INFO     | __main__:run_feature_engineering_spark:241 - 输入合并数据路径: /home/ubuntu/ElectricityDemand/data/merged_data.parquet
2025-04-22 16:01:57.264 | INFO     | __main__:run_feature_engineering_spark:242 - 输出特征数据路径: /home/ubuntu/ElectricityDemand/data/features.parquet
2025-04-22 16:01:57.265 | INFO     | __main__:run_feature_engineering_spark:256 - 创建 SparkSession...
2025-04-22 16:01:57.265 | INFO     | electricitydemand.utils.project_utils:create_spark_session:83 - 创建 SparkSession: ElectricityDemandFeatureEngineering (master: local[*])...
2025-04-22 16:01:57.265 | INFO     | electricitydemand.utils.project_utils:create_spark_session:84 - 配置 Driver 内存: 64g
2025-04-22 16:01:57.265 | INFO     | electricitydemand.utils.project_utils:create_spark_session:85 - 配置 Executor 内存: 64g
2025-04-22 16:01:57.266 | INFO     | electricitydemand.utils.project_utils:create_spark_session:97 - 配置 Spark 本地临时目录: /home/ubuntu/data/tmp
2025-04-22 16:01:57.266 | INFO     | electricitydemand.utils.project_utils:create_spark_session:124 - 设置 spark.sql.shuffle.partitions 和 spark.default.parallelism 为: 500
2025-04-22 16:01:57.266 | INFO     | electricitydemand.utils.project_utils:create_spark_session:132 - 配置 Executor 堆外内存 (spark.memory.offHeap.size): 32g
2025-04-22 16:01:59.641 | SUCCESS  | electricitydemand.utils.project_utils:create_spark_session:145 - SparkSession 创建成功 (含性能优化)
2025-04-22 16:01:59.644 | INFO     | electricitydemand.utils.project_utils:create_spark_session:146 - Spark Web UI: http://172.21.0.6:4040
2025-04-22 16:01:59.644 | INFO     | electricitydemand.utils.project_utils:create_spark_session:149 - Spark 配置:
2025-04-22 16:01:59.671 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.app.name = ElectricityDemandFeatureEngineering
2025-04-22 16:01:59.672 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.master = local[*]
2025-04-22 16:01:59.672 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.driver.memory = 64g
2025-04-22 16:01:59.672 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.executor.memory = 64g
2025-04-22 16:01:59.672 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.memory.offHeap.enabled = true
2025-04-22 16:01:59.672 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.memory.offHeap.size = 32g
2025-04-22 16:01:59.672 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.serializer = org.apache.spark.serializer.KryoSerializer
2025-04-22 16:01:59.673 | INFO     | electricitydemand.utils.project_utils:create_spark_session:163 -   spark.kryoserializer.buffer.max = 1024m
